n,Heapsort,Quicksort
71800,5804350,53672806
71900,5813380,54132495
72000,5822310,54194713
72100,5831430,54401869
72200,5840480,54266977
72300,5849520,54343939
72400,5858630,54831252
72500,5867610,55043349
72600,5876670,54981781
72700,5885660,55254825
72800,5894750,54996131
72900,5903720,55991334
73000,5912780,55650737
73100,5921910,55490025
73200,5930970,55668064
73300,5939920,55842258
73400,5949030,56113242
73500,5958120,56197971
73600,5967110,56424884
73700,5976240,56364948
73800,5985120,57129995
73900,5994090,57043208
74000,6003230,56915400
74100,6012220,57581654
74200,6021300,57270472
74300,6030340,57419166
74400,6039370,57766270
74500,6048470,58316632
74600,6057470,57860095
74700,6066550,58256633
74800,6075540,58373192
74900,6084560,58221396
75000,6093610,58610875
75100,6102630,58709874
75200,6111640,58862255
75300,6120640,59039038
75400,6129710,59111322
75500,6138880,59170780
75600,6147930,59384044
75700,6156890,59646713
75800,6165870,59720009
75900,6175010,59880020
76000,6184050,60053661
76100,6193110,60017260
76200,6202120,60982058
76300,6211210,60759200
76400,6220160,60581985
76500,6229260,60882293
76600,6238370,61032110
76700,6247390,61118918
76800,6256310,61339471
76900,6265300,61309120
77000,6274520,61925485
77100,6283500,61747250
77200,6292550,61893002
77300,6301540,62060191
77400,6310550,62464669
77500,6319690,62202573
77600,6328650,62643456
77700,6337690,62893350
77800,6346870,62945279
77900,6355840,62851031
78000,6364860,63423607
78100,6373950,63246144
78200,6382940,63565152
78300,6392010,63927289
78400,6401000,63765075
78500,6410080,63970650
78600,6419130,63979552
78700,6428190,64744609
78800,6437270,64229574
78900,6446270,64852098
79000,6455330,64872225
79100,6464310,64728989
79200,6473240,64974552
79300,6482380,65257450
79400,6491480,65357365
79500,6500540,65629497
79600,6509600,65648537
79700,6518600,65864649
79800,6527620,66356071
79900,6536690,66406394
80000,6545750,66827153
80100,6554790,66530231
80200,6563780,66861185
80300,6572820,66659271
80400,6581910,67021270
80500,6590870,67471217
80600,6600000,67272038
80700,6609100,67519903
80800,6618080,68082229
80900,6627120,67880417
81000,6636150,68160292
81100,6645180,68097500
81200,6654250,68436941
81300,6663210,68598510
81400,6672330,69031218
81500,6681410,68794572
81600,6690400,69198392
81700,6699450,69687986
81800,6708490,69384754
81900,6717560,69550086
82000,6726690,69651957
82100,6735570,69936063
82200,6744680,69888731
82300,6753740,70636486
82400,6762900,70403972
82500,6771730,70766305
82600,6780870,70809026
82700,6789930,70793566
82800,6798900,71221717
82900,6807950,71155433
83000,6817000,71142640
83100,6826180,71511673
83200,6835080,71774143
83300,6844120,72132860
83400,6853200,72045177
83500,6862270,72280352
83600,6871290,72346602
83700,6880340,72370755
83800,6889290,72553374
83900,6898460,72861366
84000,6907390,73036084
84100,6916450,73719107
84200,6925580,73923955
84300,6934610,73440514
84400,6943620,73847178
84500,6952700,74405807
84600,6961740,74308051
84700,6970730,74303054
84800,6979800,74456958
84900,6988810,74350923
85000,6997820,75117417
85100,7006960,74895361
85200,7015960,74989228
85300,7024930,75343604
85400,7034060,75216822
85500,7043110,75526063
85600,7052090,76140611
85700,7061040,75911254
85800,7070240,76335504
85900,7079200,76250952
86000,7088230,76436103
86100,7097290,76579310
86200,7106330,76798448
86300,7115470,77072248
86400,7124490,77027596
86500,7133570,77393829
86600,7142550,77542116
86700,7151520,77844732
86800,7160630,77925808
86900,7169600,78396660
87000,7178720,78153212
87100,7187740,78863122
87200,7196740,78875498
87300,7205860,79100490
87400,7214810,79076483
87500,7223950,78945540
87600,7233010,79327485
87700,7241990,79668621
87800,7251050,79672431
87900,7260050,80375925
88000,7269220,80402204
88100,7278170,80483460
88200,7287200,80478311
88300,7296210,80628408
88400,7305330,80902754
88500,7314300,81052753
88600,7323360,81552747
88700,7332340,81747937
88800,7341500,81695031
88900,7350480,81597262
89000,7359470,82164514
89100,7368600,82324191
89200,7377590,82176484
89300,7386610,82770329
89400,7395720,82827743
89500,7404740,82684971
89600,7413730,83167219
89700,7422780,83054615
89800,7431960,83714917
89900,7441030,83382865
90000,7449990,83681066
90100,7459140,84581433
90200,7468020,84204239
90300,7477210,84230850
90400,7486250,84401731
90500,7495200,84591518
90600,7504270,84976839
90700,7513240,84912410
90800,7522410,85234900
90900,7531490,85813128
91000,7540480,85364192
91100,7549490,85681938
91200,7558580,85905076
91300,7567600,85929173
91400,7576540,86187369
91500,7585590,86362414
91600,7594760,86717886
91700,7603710,87337395
